T_1,OD_1,DEV_1,T_2,OD_2,DEV_2,T_3,OD_3,DEV_3
0.0,-2.6592598940756456,0.0,0.0,-2.701018375043046,0.0,0.0,-2.627398585604522,0.0
9.58e-09,-2.6592598940756456,0.0,2.860100697037204e-08,-2.7010183583905354,0.0,4.274003158236763e-07,-2.6273983732561343,0.0
1.92e-08,-2.6592598940756456,0.0,5.720201394074407e-08,-2.701018341738296,0.0,5.02525268970911e-07,-2.6273983359301574,0.0
3.83e-08,-2.6592598940756456,0.0,1.0724586756645557e-07,-2.7010183126018332,0.0,5.776502221181457e-07,-2.627398298604049,0.0
5.75e-08,-2.6592598940756456,0.0,1.5728972119216705e-07,-2.7010182834658902,0.0,6.640391418656298e-07,-2.6273982556815287,0.0
7.67e-08,-2.6592598940756456,0.0,2.0733357481787854e-07,-2.7010182543301906,0.0,7.504280616131139e-07,-2.6273982127592848,0.0
1.1e-07,-2.6592598940756456,0.0,2.573791431490588e-07,-2.7010182251936112,0.0,8.36816981360598e-07,-2.62739816983725,0.0
1.44e-07,-2.6592598940756456,0.0,3.074247114802391e-07,-2.7010181960571016,0.0,9.23208562213842e-07,-2.6273981269139854,0.0
1.78e-07,-2.6592598940756456,0.0,3.5747027981141933e-07,-2.7010181669206346,0.0,1.009600143067086e-06,-2.627398083990764,0.0
2.11e-07,-2.6592598940756456,0.0,4.075168526190131e-07,-2.701018137783608,0.0,1.0959917239203298e-06,-2.627398041067567,0.0
2.45e-07,-2.6592598940756456,0.0,4.575634254266069e-07,-2.701018108646593,0.0,1.1823844648169534e-06,-2.62739799814381,0.0
2.79e-07,-2.6592598940756456,0.0,5.076099982342007e-07,-2.7010180795095846,0.0,1.268777205713577e-06,-2.627397955220062,0.0
3.12e-07,-2.6592598940756456,0.0,5.576567791273774e-07,-2.7010180503724563,0.0,1.3551699466102006e-06,-2.6273979122963205,0.0
3.46e-07,-2.6592598940756456,0.0,6.077035600205542e-07,-2.701018021235329,0.0,1.441562936303776e-06,-2.627397869372457,0.0
3.8e-07,-2.6592598940756456,0.0,6.57750340913731e-07,-2.701017992098201,0.0,1.5279559259973514e-06,-2.6273978264485964,0.0
4.13e-07,-2.6592598940756456,0.0,7.077971702279456e-07,-2.701017962961044,0.0,1.6143489156909267e-06,-2.627397783524735,0.0
4.47e-07,-2.6592598940756456,0.0,7.578439995421602e-07,-2.701017933823885,0.0,1.7007419509995391e-06,-2.6273977406008533,0.0
4.8e-07,-2.6592598940756456,0.0,8.078908288563748e-07,-2.701017904686724,0.0,1.787134986308152e-06,-2.627397697676971,0.0
5.14e-07,-2.6592598940756456,0.0,8.579376945939243e-07,-2.70101787554954,0.0,1.8735280216167643e-06,-2.627397654753089,0.0
5.48e-07,-2.6592598940756456,0.0,9.079845603314738e-07,-2.7010178464123538,0.0,1.959921067125946e-06,-2.6273976118292017,0.0
5.81e-07,-2.6592598940756456,0.0,9.580314260690233e-07,-2.7010178172751655,0.0,2.0463141126351275e-06,-2.6273975689053133,0.0
6.15e-07,-2.6592598940756456,0.0,1.0080784242606572e-06,-2.701017788137898,0.0,2.132707158144309e-06,-2.6273975259814257,0.0
